fips,county,lat,lon,ercot_zone,twdb_region,pop_2020,pop_2030,pop_2040,pop_2050,pop_growth_pct,water_2020_kaf,water_2030_kaf,water_2040_kaf,water_2050_kaf,water_growth_pct,elec_peak_2020_mw,elec_peak_2030_mw,elec_peak_2040_mw,elec_peak_2050_mw,elec_growth_pct,new_load_mw
48211,Hemphill,35.84,-100.27,WEST,B,4018,4293,4588,4902,22.0,4.42,4.58,4.75,4.92,11.3,11.3,18.3,29.9,48.6,330.1,217.16
48213,Henderson,32.21,-95.85,EAST,D,82737,86431,90289,94320,14.0,51.3,51.98,52.67,53.37,4.0,190.3,227.5,271.9,325.0,70.8,699.06
48215,Hidalgo,26.4,-98.18,SOUTH,M,870781,969472,1079348,1201678,38.0,740.16,799.33,863.22,932.23,25.9,1567.4,2106.5,2830.9,3804.5,142.7,306.4
48217,Hill,31.99,-97.13,NORTH,G,35972,38012,40169,42447,18.0,24.46,25.07,25.7,26.34,7.7,79.1,96.5,117.6,143.3,81.2,228.9
48219,Hockley,33.61,-102.34,WEST,O,23021,24599,26284,28086,22.0,34.53,35.79,37.1,38.45,11.4,64.5,105.0,171.0,278.6,331.9,0
48221,Hood,32.43,-97.83,NORTH,G,69468,73408,77572,81972,18.0,47.24,48.42,49.63,50.87,7.7,152.8,186.3,227.1,276.8,81.2,1000.0
48223,Hopkins,33.14,-95.57,EAST,D,37084,38740,40469,42276,14.0,22.99,23.3,23.61,23.92,4.0,85.3,102.0,121.9,145.7,70.8,549.49
48225,Houston,31.33,-95.42,EAST,D,23225,24262,25345,26476,14.0,14.4,14.59,14.79,14.98,4.0,53.4,63.9,76.3,91.2,70.8,4138.67
48227,Howard,32.3,-101.44,WEST,F,36664,39177,41861,44730,22.0,66.0,68.4,70.9,73.48,11.3,102.7,167.2,272.4,443.7,332.0,0
48229,Hudspeth,31.41,-105.37,FWEST,F,3476,3566,3659,3754,8.0,6.26,6.23,6.2,6.17,-1.4,6.6,7.7,8.9,10.3,56.1,0
48231,Hunt,33.13,-96.08,NORTH,D,98594,104186,110096,116341,18.0,61.13,62.66,64.23,65.83,7.7,216.9,264.4,322.3,392.9,81.1,0
48233,Hutchinson,35.84,-101.35,WEST,A,21198,22651,24203,25862,22.0,29.68,30.76,31.88,33.04,11.3,59.4,96.7,157.5,256.5,331.8,104.42
48235,Irion,31.3,-100.98,WEST,F,1536,1641,1754,1874,22.0,2.76,2.87,2.97,3.08,11.6,4.3,7.0,11.4,18.6,332.6,520.19
48237,Jack,33.25,-98.18,NORTH,B,8935,9442,9977,10543,18.0,9.83,10.07,10.33,10.58,7.6,19.7,24.0,29.2,35.6,80.7,294.8
48239,Jackson,28.96,-96.57,COAST,N,14837,16793,19007,21514,45.0,13.35,14.66,16.1,17.67,32.4,35.6,45.6,58.3,74.7,109.8,2266.16
48241,Jasper,30.79,-94.01,EAST,I,35505,37090,38746,40476,14.0,25.56,25.9,26.25,26.6,4.1,81.7,97.6,116.7,139.5,70.7,1594.47
48243,Jeff Davis,30.6,-104.11,FWEST,F,2274,2333,2394,2456,8.0,4.09,4.07,4.05,4.03,-1.5,4.3,5.0,5.8,6.8,58.1,0
48245,Jefferson,29.97,-94.16,EAST,I,252358,263624,275393,287688,14.0,181.7,184.12,186.56,189.05,4.0,580.4,693.8,829.3,991.2,70.8,9196.38
48247,Jim Hogg,27.04,-98.69,SOUTH,N,5200,5789,6445,7176,38.0,4.68,5.05,5.46,5.89,25.9,9.4,12.6,16.9,22.7,141.5,814.36
48249,Jim Wells,27.73,-98.1,SOUTH,N,40685,45296,50430,56145,38.0,36.62,39.54,42.7,46.12,25.9,73.2,98.4,132.3,177.8,142.9,0
48251,Johnson,32.38,-97.37,NCENT,G,183527,212395,245803,284467,55.0,124.8,140.1,157.27,176.55,41.5,385.4,543.7,766.9,1081.8,180.7,0
48253,Jones,32.73,-99.88,NCENT,F,19958,23097,26730,30935,55.0,35.92,40.33,45.27,50.82,41.5,41.9,59.1,83.4,117.6,180.7,0
48255,Karnes,28.89,-97.86,SOUTH,N,15387,17131,19072,21234,38.0,13.85,14.96,16.15,17.44,25.9,27.7,37.2,50.0,67.2,142.6,0
48257,Kaufman,32.6,-96.28,NCENT,C,138494,163654,193384,228515,65.0,62.32,71.43,81.88,93.85,50.6,290.8,410.3,578.7,816.3,180.7,3097.83
48259,Kendall,29.94,-98.71,SCENT,L,46987,54956,64277,75179,60.0,32.89,37.32,42.33,48.03,46.0,94.0,139.1,205.9,304.8,224.3,0
48261,Kenedy,26.93,-97.87,SOUTH,N,404,450,501,558,38.1,0.36,0.39,0.42,0.46,27.8,0.7,1.0,1.3,1.8,157.1,15209.35
48263,Kent,33.18,-100.79,WEST,O,762,814,870,930,22.0,1.14,1.18,1.23,1.27,11.4,2.1,3.5,5.7,9.2,338.1,3886.12
48265,Kerr,30.04,-99.35,SCENT,J,52600,61521,71956,84160,60.0,63.12,71.61,81.24,92.17,46.0,105.2,155.7,230.5,341.2,224.3,1908.19
48267,Kimble,30.49,-99.75,SCENT,J,4607,5388,6302,7371,60.0,5.53,6.27,7.12,8.07,45.9,9.2,13.6,20.2,29.9,225.0,0
